Year,Make,Model,Condition,Price,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2022,Honda,Pilot Sport,New,"$39,950 ",NB096368,15,5,5,5,5,5,5,IA,Dealer
2023,Honda,Passport Elite,New,"$48,250 ",H13427,6,,,,,,,IA,Dealer
2023,Honda,Passport EX-L,New,"$42,790 ",H13462,6,,,,,,,IA,Dealer
2023,Honda,Passport EX-L,New,"$42,790 ",23H192,2,,,,,,,IA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",H22662,12,5,5,5,5,5,5,WI,Dealer
2022,Honda,Pilot Special Edition,New,"$44,600 ",NB105276,5,5,5,5,5,5,5,TN,Dealer
2022,Honda,Pilot Sport,New,"$37,551 ",22833,5,5,5,5,5,5,5,LA,Dealer
2022,Honda,HR-V EX-L,New,"$29,790 ",HN50108,–,3.8,3.2,3.6,3.6,4.2,4.2,IL,Dealer
2023,Honda,Passport EX-L,New,"$39,981 ",S33194,–,,,,,,,LA,Dealer
2023,Honda,CR-V EX-L,New,"$37,494 ",J30040,5,5,5,5,4,4,5,IL,Dealer
2022,Honda,Pilot EX-L,New,"$43,605 ",NB096722,10,5,5,5,5,5,5,IL,Dealer
2023,Honda,HR-V LX,New,"$24,895 ",C17613,1,4,5,4,5,5,5,IL,Dealer
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",H2196,–,5,5,5,5,5,5,KY,Dealer
2022,Honda,Pilot Special Edition,New,"$43,600 ",22H645,5,5,5,5,5,5,5,MI,Dealer
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",52101,81,5,5,5,5,5,5,IN,Dealer
2023,Honda,CR-V EX,New,"$34,405 ",53123,3,5,5,5,4,4,5,IN,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,158 ",41765-14,0,4.9,5,5,4.9,4.9,5,OH,Dealer
2023,Honda,Odyssey Elite,New,"$50,915 ",H23065,–,5,5,4,4,4,5,OH,Dealer
2023,Honda,Odyssey Touring,New,"$46,290 ",H23063,–,5,5,4,4,4,5,OH,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",NA041327,20,4.9,5,5,4.9,4.9,5,GA,Dealer
2023,Honda,Odyssey Elite,New,"$50,765 ",234005,0,5,5,4,4,4,5,MI,Dealer
2022,Honda,Pilot EX-L,New,"$43,195 ",225043,0,5,5,5,5,5,5,MI,Dealer
2022,Honda,Passport EX-L,New,"$40,995 ",226018,0,5,5,4.9,5,4.9,5,MI,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",QG23185,0,5,3,4,4,5,5,GA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",QG23260,0,5,3,4,4,5,5,GA,Dealer
2022,Honda,Pilot TrailSport,New,"$48,343 ",27195,10,5,5,5,5,5,5,GA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$41,688 ",27289,5,5,3,4,4,5,5,GA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",H800436,3,5,3,4,4,5,5,GA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,600 ",17243,2,5,5,5,5,5,5,OH,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",17405,2,5,5,5,5,5,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",17357,3,5,3,4,4,5,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",64820,0,5,3,4,4,5,5,OH,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",7303699,10,5,3,4,4,5,5,OH,Dealer
2023,Honda,Passport Elite,New,"$51,150 ",Q100231,0,,,,,,,NC,Dealer
2023,Honda,Civic Sport,New,"$29,540 ",HO7532,10,,,,,,,NC,Dealer
2023,Honda,Civic Touring,New,"$34,145 ",HO7541,9,,,,,,,NC,Dealer
2022,Honda,Accord Sport 2.0T,New,"$38,550 ",HO7521,9,5,5,5,5,5,5,NC,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",91219,0,5,5,5,4,4,5,NC,Dealer
2023,Honda,Passport TrailSport,New,"$44,895 ",H6685,6,,,,,,,VA,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB095283,3,5,5,5,5,5,5,FL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$41,235 ",PH800308,5,5,3,4,4,5,5,FL,Dealer
2022,Honda,Pilot EX-L,New,"$42,000 ",CHS222157,6,5,5,5,5,5,5,NC,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,165 ",NA041853,10,4.9,5,5,4.9,4.9,5,NC,Dealer
2022,Honda,Passport EX-L,New,"$48,205 ",N11176,0,5,5,4.9,5,4.9,5,NC,Dealer
2022,Honda,Passport EX-L,New,"$48,600 ",N11245,0,5,5,4.9,5,4.9,5,NC,Dealer
2022,Honda,Accord Hybrid Sport,New,"$35,401 ",N11302,0,4.9,5,5,4.9,4.9,5,NC,Dealer
2022,Honda,Pilot Black Edition,New,"$53,165 ",H221119,6,5,5,5,5,5,5,FL,Dealer
2022,Honda,Accord Touring,New,"$38,810 ",H43921,0,5,5,5,5,5,5,FL,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",H221661,14,5,5,5,5,5,5,VA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",H221550,14,5,5,5,5,5,5,VA,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",7129,1,5,5,5,5,5,5,VA,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105 ",7208,4,5,5,5,5,5,5,VA,Dealer
2022,Honda,Passport EX-L,New,"$41,153 ",35399,2750,5,5,4.9,5,4.9,5,VA,Dealer
2022,Honda,Passport TrailSport,New,"$44,660 ",58053,10,5,5,4.9,5,4.9,5,VA,Dealer
2022,Honda,Passport TrailSport,New,"$44,660 ",220956,12,5,5,4.9,5,4.9,5,MD,Dealer
2023,Honda,CR-V EX-L,New,"$35,005 ",230093,15,5,5,5,4,4,5,FL,Dealer
2023,Honda,Civic Si Base,New,"$29,595 ",PH471596,6,,,,,,,FL,Dealer
2023,Honda,Accord Hybrid Sport-L,New,"$34,970 ",R2831,12,,,,,,,FL,Dealer
2023,Honda,Pilot EX-L 7-Passenger,New,"$45,695 ",M2531,12,,,,,,,FL,Dealer
2023,Honda,Accord Hybrid Touring,New,"$38,985 ",R2761,12,,,,,,,FL,Dealer
2023,Honda,Pilot EX-L 8-Passenger,New,"$43,295 ",M1032,10,,,,,,,FL,Dealer
2023,Honda,Civic Si Base,New,"$29,195 ",PH471104,3,,,,,,,FL,Dealer
2022,Honda,Civic Si Base,New,"$28,990 ",NH477074,3,4.2,4,4.5,4.2,4.5,5,FL,Dealer
2023,Honda,Civic Si Base,New,"$29,590 ",A470384,11,,,,,,,FL,Dealer
2023,Honda,Civic Si Base,New,"$29,195 ",A471112,11,,,,,,,FL,Dealer
2022,Honda,CR-V EX,New,"$29,485 ",X3252,11,4.9,4.8,4.7,4.8,4.7,4.9,FL,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",H34345,10,5,3,4,4,5,5,VA,Dealer
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",H29499,0,5,4.8,4.8,4.2,5,5,DE,Dealer
2023,Honda,Ridgeline RTL-E,New,"$46,420 ",,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",NB083990,3,5,5,5,5,5,5,PA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205 ",NB076475,42,5,5,5,5,5,5,NJ,Dealer
2023,Honda,Ridgeline RTL,New,"$43,125 ",PB021138,–,5,4.8,4.8,4.2,5,5,NJ,Dealer
2022,Honda,HR-V Sport,New,"$26,545 ",220213,5,3.8,3.2,3.6,3.6,4.2,4.2,CT,Dealer
2022,Honda,HR-V Sport,New,"$26,545 ",220208,5,3.8,3.2,3.6,3.6,4.2,4.2,CT,Dealer
2023,Honda,HR-V Sport,New,"$28,790 ",H23001,–,4,5,4,5,5,5,CT,Dealer
2022,Honda,HR-V Sport,New,"$26,940 ",220183,9,3.8,3.2,3.6,3.6,4.2,4.2,CT,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$35,745 ",H807508,5,5,3,4,4,5,5,MA,Dealer
2022,Honda,Pilot TrailSport,New,"$42,687 ",H221019,13,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot TrailSport,New,"$42,780 ",H221121,15,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB092190R,11,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB092319R,11,5,5,5,5,5,5,MA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,447 ",PH801220,5,5,3,4,4,5,5,MA,Dealer
2023,Honda,Pilot Sport,New,"$42,620 ",PB002041,5,,,,,,,MA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,465 ",H221732,5,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Special Edition,New,"$44,205 ",H221839,1,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",H221764,1,5,5,5,5,5,5,MA,Dealer
2022,Honda,Pilot EX-L,New,"$44,000 ",H221741,1,5,5,5,5,5,5,MA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",34930,4,5,3,4,4,5,5,MA,Dealer
2022,Honda,Pilot EX-L,New,"$44,000 ",H221631,1,5,5,5,5,5,5,MA,Dealer
2023,Honda,CR-V EX,New,"$34,250 ",830118,5,5,5,5,4,4,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,150 ",PH702375,3,5,3,4,4,5,5,CA,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",PH801032,8,5,3,4,4,5,5,CA,Dealer
2023,Honda,Odyssey Touring,New,"$46,400 ",5737435A,–,5,5,4,4,4,5,CA,Dealer
2023,Honda,Ridgeline RTL,New,"$41,110 ",5718841,–,5,4.8,4.8,4.2,5,5,CA,Dealer
2022,Honda,Pilot EX-L,New,"$42,000 ",5738388,5,5,5,5,5,5,5,CA,Dealer
2023,Honda,Passport Elite,New,"$48,250 ",PB002178,5,,,,,,,CA,Dealer
2022,Honda,Pilot Sport,New,"$40,770 ",78753,7,5,5,5,5,5,5,NV,Dealer
2022,Honda,Pilot Sport,New,"$39,406 ",181854,12,5,5,5,5,5,5,AZ,Dealer
2023,Honda,Pilot Touring 8-Passenger,New,"$50,350 ",44705,1,,,,,,,UT,Dealer
2023,Honda,CR-V EX-L,New,"$36,900 ",2C0147,–,5,5,5,4,4,5,CO,Dealer
2022,Honda,Pilot Special Edition,New,"$43,687 ",H17169,3,5,5,5,5,5,5,WA,Dealer
2022,Honda,Pilot Special Edition,New,"$41,765 ",13012,–,5,5,5,5,5,5,WA,Dealer
2023,Honda,Ridgeline RTL-E,New,"$48,820 ",X7017,5,5,4.8,4.8,4.2,5,5,NE,Dealer
2022,Honda,Accord Hybrid Base,New,"$32,164 ",22041,0,4.9,5,5,4.9,4.9,5,OK,Dealer
2023,Honda,HR-V LX,New,"$24,894 ",23007,12,4,5,4,5,5,5,OK,Dealer
2022,Honda,Accord Hybrid Base,New,"$32,559 ",22046,5,4.9,5,5,4.9,4.9,5,OK,Dealer
2022,Honda,Civic Sport,New,"$25,044 ",22034,5,4.6,4.9,4.4,4.6,4.6,4.7,OK,Dealer
2023,Honda,Ridgeline RTL-E,New,"$44,695 ",H3020854,0,5,4.8,4.8,4.2,5,5,TX,Dealer
2023,Honda,Odyssey Elite,New,"$51,160 ",PB022236,5,5,5,4,4,4,5,TX,Dealer
2023,Honda,Ridgeline RTL-E,New,"$44,420 ",PB017529,14,5,4.8,4.8,4.2,5,5,TX,Dealer
2023,Honda,Pilot EX-L 7-Passenger,New,"$43,545 ",H05347,5,,,,,,,TX,Dealer
2023,Honda,Ridgeline RTL-E,New,"$45,537 ",PB006565,5,5,4.8,4.8,4.2,5,5,TX,Dealer
2023,Honda,Ridgeline RTL-E,New,"$42,869 ",PB011486,5,5,4.8,4.8,4.2,5,5,TX,Dealer
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",220724,10,5,5,5,5,5,5,NE,Dealer
2023,Honda,Ridgeline RTL,New,"$43,470 ",A7000600,5,5,4.8,4.8,4.2,5,5,MO,Dealer
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",H701637,–,5,3,4,4,5,5,AR,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",221996,0,4.9,5,5,4.9,4.9,5,MN,Dealer
2023,Honda,Ridgeline RTL,New,"$43,470 ",H13479,1,5,4.8,4.8,4.2,5,5,IA,Dealer
2022,Honda,Pilot EX-L,New,"$43,605 ",H13432,6,5,5,5,5,5,5,IA,Dealer
2022,Honda,Pilot Special Edition,New,"$40,666 ",25764,4,5,5,5,5,5,5,LA,Dealer
2022,Honda,Pilot TrailSport,New,"$42,435 ",25746,4,5,5,5,5,5,5,LA,Dealer
2023,Honda,Passport Elite,New,"$43,344 ",25819,2,,,,,,,LA,Dealer
2023,Honda,CR-V EX,New,"$33,250 ",25775,2,5,5,5,4,4,5,LA,Dealer
2023,Honda,Accord EX-L 1.5T,New,"$30,705 ",H23110,2,,,,,,,WI,Dealer
2022,Honda,Accord Hybrid Sport,New,"$34,555 ",224050,12,4.9,5,5,4.9,4.9,5,LA,Dealer
2022,Honda,Pilot Sport,New,"$39,995 ",NB092909,10,5,5,5,5,5,5,TN,Dealer
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,988 ",23051,5,5,3,4,4,5,5,LA,Dealer
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",HN62607,–,5,5,5,5,5,5,IL,Dealer
2023,Honda,HR-V EX-L,New,"$31,040 ",E10083,0,4,5,4,5,5,5,IL,Dealer
2022,Honda,Pilot TrailSport,New,"$46,500 ",P19307,7,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Sport,New,"$41,770 ",NB087940,5,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105 ",NB070246,862,5,5,5,5,5,5,IL,Dealer
2022,Honda,Pilot Black Edition,New,"$53,560 ",NB078097,5,5,5,5,5,5,5,IL,Dealer
2022,Honda,Passport Elite,New,"$50,125 ",NB019193,5,5,5,4.9,5,4.9,5,IL,Dealer
2023,Honda,Ridgeline Black Edition,New,"$47,920 ",C17635,1,5,4.8,4.8,4.2,5,5,IL,Dealer
2023,Honda,Passport TrailSport,New,"$45,290 ",H5675,–,,,,,,,KY,Dealer
2022,Honda,Pilot TrailSport,New,"$46,105 ",H5669,–,5,5,5,5,5,5,KY,Dealer
2023,Honda,Civic Sport,New,"$26,140 ",53115,3,,,,,,,IN,Dealer
2022,Honda,Accord Hybrid Sport,New,"$32,158 ",41743-13,6,4.9,5,5,4.9,4.9,5,OH,Dealer
2023,Honda,CR-V EX-L,New,"$37,055 ",J2730,0,5,5,5,4,4,5,OH,Dealer
